page,category_index,category_name,region_poly,position,content,0
0,0,title,"[76, 150, 331, 150, 331, 171, 76, 171]","[72, 146, 331, 146, 331, 170, 72, 170]",['Leptonycteris nivalis'],
0,2,plain text,"[72, 298, 683, 298, 683, 323, 72, 323]","[70, 293, 679, 296, 679, 324, 70, 320]",['Published by: American Society of Mammalogists'],
0,2,plain text,"[72, 349, 696, 349, 696, 373, 72, 373]","[71, 344, 691, 343, 691, 369, 71, 370]",['Stable URL: https://www.jstor.org/stable/3504229'],
0,2,plain text,"[78, 422, 1152, 422, 1152, 482, 78, 482]","[73, 423, 1154, 421, 1154, 437, 73, 440]","['JSTOR is a not-for-profit service that helps scholars, researchers, and students discover. use. and build upon a wide']",
0,2,plain text,"[78, 422, 1152, 422, 1152, 482, 78, 482]","[72, 443, 1148, 443, 1148, 459, 72, 459]",['range of content in a trusted digital archive. We use information technology and tools to increase productivity and'],
0,2,plain text,"[78, 422, 1152, 422, 1152, 482, 78, 482]","[71, 463, 1057, 462, 1057, 478, 71, 478]","['facilitate new forms of scholarship. For more information about JSTOR, please contact support@jstor.org']",
0,2,plain text,"[75, 189, 815, 189, 815, 215, 75, 215]","[75, 184, 814, 186, 814, 213, 75, 211]",['Author(s): Adele Pfrimmer Hensley and Kenneth T. Wilkins'],
0,2,plain text,"[80, 219, 1079, 219, 1079, 264, 80, 264]","[73, 225, 1089, 228, 1089, 254, 73, 252]","['Source: Mammalian Species, Jun. 30,1988,No. 307, Leptonycteris nivalis (Jun. 30,']",
0,5,footnote,"[194, 1538, 1024, 1538, 1024, 1560, 194, 1560]","[190, 1537, 563, 1538, 563, 1555, 190, 1554]","['is collaborating with JSTOR to digitize,']",
0,5,footnote,"[194, 1538, 1024, 1538, 1024, 1560, 194, 1560]","[566, 1540, 1019, 1538, 1019, 1554, 566, 1556]",['preserve and extend access to Mammalian Species'],
0,5,footnote,"[74, 502, 1026, 502, 1026, 537, 74, 537]","[73, 500, 1032, 493, 1033, 510, 73, 517]",['Your use of the JSTOR archive indicates your acceptance of the Terms & Conditions of Use. available at'],
0,5,footnote,"[74, 502, 1026, 502, 1026, 537, 74, 537]","[71, 517, 353, 517, 353, 534, 71, 533]",['https://about.jstor.org/terms'],
0,6,footer,"[441, 1729, 796, 1729, 796, 1764, 441, 1764]","[445, 1736, 796, 1736, 796, 1751, 445, 1751]","['148.202.168. 13 on Sun, 01 May 202211:11:53 UTC']",
0,6,footer,"[441, 1729, 796, 1729, 796, 1764, 441, 1764]","[463, 1753, 772, 1754, 772, 1770, 463, 1769]",['All use subject to https://about.jstor.org/terms'],
0,6,footer,"[88, 1531, 178, 1531, 178, 1658, 88, 1658]",,,
0,6,footer,"[456, 1758, 779, 1758, 779, 1771, 456, 1771]","[463, 1753, 772, 1754, 772, 1770, 463, 1769]",['All use subject to https://about.jstor.org/terms'],
1,0,title,"[116, 986, 523, 986, 523, 1008, 116, 1008]","[118, 982, 528, 984, 528, 1007, 118, 1006]","['Leptonycteris nivalis (Saussure, 1860)']",
1,0,title,"[232, 1015, 408, 1015, 408, 1036, 232, 1036]","[229, 1011, 408, 1011, 408, 1036, 229, 1036]",['Big Long-nosed Bat'],
1,0,title,"[89, 115, 716, 115, 716, 158, 89, 158]","[87, 115, 720, 123, 720, 160, 87, 151]","['MAMMALIAN SPECIES No. 307, pp. 1-4, 3 figs.']",
1,1,figure,"[581, 1097, 1058, 1097, 1058, 1480, 581, 1480]",,,
1,2,plain text,"[583, 415, 1059, 415, 1059, 694, 583, 694]","[619, 413, 1057, 414, 1057, 430, 619, 429]",['GENERAL CHARACTERS.Leptonycteris nivalis is a large'],
1,2,plain text,"[583, 415, 1059, 415, 1059, 694, 583, 694]","[582, 433, 1058, 434, 1058, 450, 582, 449]","['glossophagine bat (Phillips, 1971; Fig. l). The slender skull has']",
1,2,plain text,"[583, 415, 1059, 415, 1059, 694, 583, 694]","[582, 451, 1058, 453, 1058, 469, 582, 467]","['complete zygomata (Hall, 1981; Fig. 2). The muzzle is greatly']",
